day_of_week,day,month,year,document_title,document_type,session,question_number,asked_by,minister,section
Tuesday,5,12,2023,"Tuesday, 5th December, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,156,Mr Nyambose (Chasefu),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76)
Tuesday,5,12,2023,"Tuesday, 5th December, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,157,Mr Chewe (Lubansenshi),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76)
Thursday,23,2,2023,"Friday, 23rd February, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,232,Mr Mushanga (Bwacha),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Thursday,23,2,2023,"Friday, 23rd February, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,233,Mr Miyutu (Kalabo Central),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Thursday,23,2,2023,"Friday, 23rd February, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,234,Mr Kapyanga (Mpika),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Thursday,23,2,2023,"Friday, 23rd February, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,235,Mr C Mpundu (Chembe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Thursday,23,2,2023,"Friday, 23rd February, 2023",Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,236,Mr Simuzingili (Gwembe),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,74,Mr Kamondo (Mufumbwe),Minister of Finance and National Planning,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,75,Ms Katuta (Chienge),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,76,Ms Halwiindi (Kabwe Central),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,77,Ms Katuta (Chienge),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,78,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Friday,5,11,2021,"Friday, 5th November, 2021",Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,79,Ms Katuta (Chienge),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,16,Mr Chaatila (Moomba),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,17,Mr Zimba (Chasefu),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,18,Mr Michelo (Bweengwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,19,Mr Mbulakulima (Milenge),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,20,Mr Miyutu (Kalabo Central),Minister of Information and Broadcasting,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,21,Mr S Tembo (Chadiza),Minister of Lands and Natural Resources,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
Thursday,17,9,2020,"Thursday, 17th September, 2020",Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,22,Mr Nanjuwa (Mumbwa),"Minister of Works and Supply how much money was spent on repairing and servicing of Government motor vehicles from 2015 to 2019, year by year.",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30)
