filename,question_count,title,date,source_url
paper_Tuesday_5th_December_2023_2023.json,2,"Tuesday, 5th December, 2023",,https://www.parliament.gov.zm/node/11478
paper_THURSDAY_3RD_JULY_2014.json,6,"Thursday, 3rd July, 2014","THURSDAY, 3RD JULY, 2014",https://www.parliament.gov.zm/node/482
paper_Friday_23rd_February_2023_2023.json,5,"Friday, 23rd February, 2023",,https://www.parliament.gov.zm/node/11590
paper_ORDER_PAPER_–_TUESDAY_14TH_JULY_2015.json,10,"Tuesday, 14th July, 2015","ORDER PAPER – TUESDAY, 14TH JULY, 2015",https://www.parliament.gov.zm/node/4295
paper_ORDER_PAPER_–_THURSDAY_14TH_APRIL_2016.json,2,"Thursday, 14th April, 2016","ORDER PAPER – THURSDAY, 14TH APRIL, 2016",https://www.parliament.gov.zm/node/5039
paper_TUESDAY_23RD_SEPTEMBER_2014.json,25,"Tuesday, 23rd September, 2014","TUESDAY, 23RD SEPTEMBER, 2014",https://www.parliament.gov.zm/node/468
paper_Friday_5th_November_2021_2021.json,6,"Friday, 5th November, 2021",,https://www.parliament.gov.zm/node/9879
paper_Thursday_17th_September_2020_2020.json,10,"Thursday, 17th September, 2020",,https://www.parliament.gov.zm/node/8452
paper_Thursday_28th_February_2019_2019.json,8,"Thursday, 28th February, 2019",,https://www.parliament.gov.zm/node/7892
paper_FRIDAY_8TH_NOVEMBER_2013.json,3,"Friday, 8th November, 2013","FRIDAY, 8TH NOVEMBER, 2013",https://www.parliament.gov.zm/node/785
paper_Thursday_25th_July_2024_2024.json,5,"Thursday, 25th July, 2024",,https://www.parliament.gov.zm/node/11824
paper_FRIDAY_14TH_FEBRUARY_2014.json,9,"Friday, 14th February, 2014","FRIDAY, 14TH FEBRUARY, 2014",https://www.parliament.gov.zm/node/660
paper_TUESDAY_10TH_JULY_2012.json,20,"Tuesday, 10th July, 2012","TUESDAY, 10TH JULY, 2012",https://www.parliament.gov.zm/node/1892
paper_ORDER_PAPER_–_WEDNESDAY_13TH_MARCH_2013.json,15,"Wednesday, 13th March, 2013","ORDER PAPER – WEDNESDAY, 13TH MARCH, 2013",https://www.parliament.gov.zm/node/1563
paper_THURSDAY_28TH_NOVEMBER_2013.json,2,"Thursday, 28th November, 2013","THURSDAY, 28TH NOVEMBER, 2013",https://www.parliament.gov.zm/node/730
paper_FRIDAY_20TH_NOVEMBER_2015.json,2,"Friday, 20th November, 2015","FRIDAY, 20TH NOVEMBER 2015",https://www.parliament.gov.zm/node/4775
